system,complex,replica,rmsd_last50ns_A,rmsd_full_mean_A,paddle_contact_pct,r3_saltbridge_pct
cstx2_kv42,CsTx2-Kv4.2,1,6.2908,5.8397,100.0,9.8225
cstx2_kv42,CsTx2-Kv4.2,2,5.3474,5.1437,100.0,5.8485
cstx2_kv42,CsTx2-Kv4.2,3,6.2193,5.5738,100.0,37.0157
cstx2_kv42,CsTx2-Kv4.2,4,4.8994,5.8294,100.0,14.0965
cstx2_kv42,CsTx2-Kv4.2,5,7.252,5.9163,100.0,16.121
cstx2_kv42,CsTx2-Kv4.2,6,5.115,4.894,100.0,28.7678
cstx2_kv42,CsTx2-Kv4.2,7,6.9569,7.0994,100.0,13.8215
cstx2_kv42,CsTx2-Kv4.2,8,4.5987,4.5812,100.0,10.5724
cstx3_kv42,CsTx3-Kv4.2,1,3.3885,3.9807,100.0,0.05
cstx3_kv42,CsTx3-Kv4.2,2,7.0486,6.0102,100.0,0.0
cstx3_kv42,CsTx3-Kv4.2,3,3.3978,3.3573,100.0,0.0
cstx3_kv42,CsTx3-Kv4.2,4,3.6953,3.9986,100.0,0.0
cstx3_kv42,CsTx3-Kv4.2,5,6.0465,4.5418,100.0,0.025
cstx3_kv42,CsTx3-Kv4.2,6,3.3059,3.3035,100.0,0.0
cstx3_kv42,CsTx3-Kv4.2,7,6.4439,4.4049,100.0,0.0
cstx3_kv42,CsTx3-Kv4.2,8,3.4604,3.9581,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,1,6.5934,4.3789,99.825,0.0
cstx2_kv43,CsTx2-Kv4.3,2,7.3963,4.538,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,3,10.0482,6.0292,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,4,5.3167,3.9684,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,5,8.368,4.7486,95.926,0.0
cstx2_kv43,CsTx2-Kv4.3,6,4.251,3.1092,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,7,4.9406,4.1474,100.0,0.0
cstx2_kv43,CsTx2-Kv4.3,8,6.792,4.8275,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,1,8.7508,6.5952,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,2,11.4664,6.7086,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,3,4.9416,3.9387,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,4,5.9745,4.562,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,5,6.8004,5.5491,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,6,10.819,8.0652,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,7,4.5401,4.4903,100.0,0.0
cstx3_kv43,CsTx3-Kv4.3,8,7.0231,6.7199,100.0,0.0
