system,complex,replica,dVDWAALS,dEEL,dEGB,dESURF,dGGAS,dGSOLV,dTOTAL
cstx2_kv42,CsTx2-Kv4.2,1,-12.29,-125.26,169.25,-6.03,-137.55,163.22,25.67
cstx2_kv42,CsTx2-Kv4.2,2,-30.33,-115.38,158.34,-6.34,-145.71,152.0,6.29
cstx2_kv42,CsTx2-Kv4.2,3,-23.16,-143.73,186.83,-6.84,-166.89,179.98,13.1
cstx2_kv42,CsTx2-Kv4.2,4,-29.46,-141.82,184.21,-6.17,-171.28,178.04,6.76
cstx2_kv42,CsTx2-Kv4.2,5,-29.54,-191.44,235.61,-7.71,-220.98,227.9,6.91
cstx2_kv42,CsTx2-Kv4.2,6,-22.23,-98.6,138.97,-5.54,-120.84,133.43,12.59
cstx2_kv42,CsTx2-Kv4.2,7,-8.71,-107.23,154.5,-7.34,-115.94,147.16,31.23
cstx2_kv42,CsTx2-Kv4.2,8,-30.99,-144.56,184.36,-6.45,-175.56,177.91,2.35
cstx3_kv42,CsTx3-Kv4.2,1,-28.63,-45.7,81.41,-6.15,-74.34,75.26,0.92
cstx3_kv42,CsTx3-Kv4.2,2,-24.87,-35.91,68.41,-5.81,-60.78,62.6,1.83
cstx3_kv42,CsTx3-Kv4.2,3,-17.9,-33.19,70.84,-6.34,-51.08,64.5,13.42
cstx3_kv42,CsTx3-Kv4.2,4,-26.12,-32.86,68.31,-5.63,-58.97,62.68,3.71
cstx3_kv42,CsTx3-Kv4.2,5,-30.76,-66.98,107.61,-5.72,-97.74,101.89,4.15
cstx3_kv42,CsTx3-Kv4.2,6,-17.55,-30.26,61.99,-5.88,-47.81,56.1,8.29
cstx3_kv42,CsTx3-Kv4.2,7,-28.7,-39.96,75.75,-6.32,-68.66,69.42,0.76
cstx3_kv42,CsTx3-Kv4.2,8,-24.83,-58.03,87.11,-5.63,-82.85,81.48,-1.37
cstx2_kv43,CsTx2-Kv4.3,1,-9.02,5.2,43.8,-6.63,-3.81,37.17,33.35
cstx2_kv43,CsTx2-Kv4.3,2,-25.86,13.98,31.35,-6.04,-11.89,25.31,13.42
cstx2_kv43,CsTx2-Kv4.3,3,49.41,31.06,21.59,-7.23,80.47,14.36,94.83
cstx2_kv43,CsTx2-Kv4.3,4,1.66,29.66,20.33,-5.93,31.32,14.39,45.71
cstx2_kv43,CsTx2-Kv4.3,5,-30.35,3.46,34.21,-5.53,-26.89,28.68,1.79
cstx2_kv43,CsTx2-Kv4.3,6,-13.82,24.6,21.92,-6.24,10.78,15.68,26.46
cstx2_kv43,CsTx2-Kv4.3,7,-2.46,22.74,24.86,-6.27,20.28,18.59,38.87
cstx2_kv43,CsTx2-Kv4.3,8,-29.1,39.02,9.62,-6.55,9.92,3.07,12.98
cstx3_kv43,CsTx3-Kv4.3,1,-38.97,34.53,3.2,-5.45,-4.44,-2.25,-6.69
cstx3_kv43,CsTx3-Kv4.3,2,-32.43,-10.31,48.38,-5.8,-42.74,42.58,-0.16
cstx3_kv43,CsTx3-Kv4.3,3,-35.37,-5.12,44.43,-6.19,-40.48,38.24,-2.25
cstx3_kv43,CsTx3-Kv4.3,4,-27.4,14.6,21.47,-5.3,-12.79,16.16,3.37
cstx3_kv43,CsTx3-Kv4.3,5,-13.41,17.41,18.84,-4.77,4.0,14.07,18.07
cstx3_kv43,CsTx3-Kv4.3,6,-33.96,18.87,19.35,-5.27,-15.09,14.09,-1.0
cstx3_kv43,CsTx3-Kv4.3,7,-34.64,16.67,24.81,-5.56,-17.98,19.25,1.28
cstx3_kv43,CsTx3-Kv4.3,8,-38.39,10.25,25.59,-5.12,-28.13,20.47,-7.66
